iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GBR,Europe,United Kingdom,26/05/2021,4486168,2991,2543.143,128010,9,7.714,66083.843,44.059,37.462,1885.661,0.133,0.114,1.21,125,1.841,889,13.095,,,,,1132061,176394409,2598.391,16.676,965605,14.224,0.003,379.7,tests performed,62658639,38614683,24043956,663577,595544,92.3,56.88,35.42,8773,62.5,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932
COL,South America,Colombia,26/05/2021,3294101,23487,18996.429,86180,514,491,64738.882,461.589,373.336,1693.693,10.102,9.65,1.2,,,,,,,,,97639,16563365,325.519,1.919,75856,1.491,0.292,3.4,tests performed,8842360,5646512,3195848,229124,139937,17.38,11.1,6.28,2750,,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
MCO,Europe,Monaco,26/05/2021,2503,1,0.857,32,0,0,63780.451,25.482,21.841,815.411,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,152,,,,3873,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,
MDA,Europe,Moldova,26/05/2021,254908,94,99.286,6088,4,5,63190.466,23.302,24.612,1509.186,0.992,1.239,0.59,,,,,,,,,,1094129,271.229,,4010,0.994,0.025,40.4,tests performed,,,,,14289,,,,3542,,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
BIH,Europe,Bosnia and Herzegovina,26/05/2021,203658,145,115.857,9184,16,14,62075.429,44.196,35.314,2799.304,4.877,4.267,0.64,,,,,,,,,2768,968076,295.072,0.844,2280,0.695,0.051,19.7,tests performed,,,,,,,,,,42.59,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
TUR,Asia,Turkey,26/05/2021,5212123,8738,8726.429,46787,166,195.429,61799.628,103.606,103.468,554.749,1.968,2.317,0.72,,,,,,,,,221214,53038651,628.874,2.623,217994,2.585,0.04,25,tests performed,28511333,16320454,12190879,113486,241410,33.81,19.35,14.45,2862,74.07,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
CRI,North America,Costa Rica,26/05/2021,309486,2587,2238,3908,31,30.286,60753.646,507.841,439.331,767.16,6.085,5.945,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
PSE,Asia,Palestine,26/05/2021,306795,461,323.286,3483,3,5,60139.185,90.367,63.372,682.752,0.588,0.98,1.01,,,,,,,,,3244,,,0.636,2464,0.483,0.131,7.6,tests performed,489698,293238,196460,,2440,9.6,5.75,3.85,478,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708
BGR,Europe,Bulgaria,26/05/2021,417526,393,262.714,17617,36,28.714,60089.128,56.559,37.809,2535.387,5.181,4.132,0.65,,,,,,,,,13799,2768262,398.4,1.986,9965,1.434,0.026,37.9,tests performed,1303575,777089,526486,20858,16025,18.76,11.18,7.58,2306,,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
PER,South America,Peru,26/05/2021,1937245,4990,4804.286,68634,164,228.571,58754.52,151.341,145.709,2081.594,4.974,6.932,1.01,,,,,,,,,,,,,,,,,,3485766,2425703,1060063,59581,86370,10.57,7.36,3.22,2620,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
ARE,Asia,United Arab Emirates,26/05/2021,561048,1757,1574.143,1661,3,3.143,56726.523,177.647,159.159,167.941,0.303,0.318,1.1,,,,,,,,,225954,49235759,4978.136,22.846,225268,22.776,0.007,143.1,tests performed,12531970,,,116422,118254,126.71,,,11956,,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ROU,Europe,Romania,26/05/2021,1076533,379,407.714,30092,52,53.714,55959.601,19.701,21.194,1564.222,2.703,2.792,0.55,,,,,,,,,22586,7816956,406.336,1.174,17711,0.921,0.023,43.4,tests performed,7526513,4208724,3404056,71522,71487,39.12,21.88,17.69,3716,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
CPV,Africa,Cape Verde,26/05/2021,29763,214,152,259,0,0.857,53531.731,384.9,273.387,465.837,0,1.542,0.86,,,,,,,,,1321,,,2.376,,,,,tests performed,24382,21663,2719,,193,4.39,3.9,0.49,347,,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
IRL,Europe,Ireland,26/05/2021,259416,448,424.286,4941,0,0,52536.8,90.729,85.926,1000.649,0,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
UKR,Europe,Ukraine,26/05/2021,2247605,3521,3641.429,51898,216,177.143,51392.907,80.51,83.264,1186.681,4.939,4.05,0.76,,,,,,,,,30724,10076621,230.408,0.703,23177,0.53,0.157,6.4,tests performed,1099713,992189,107524,15131,12414,2.51,2.27,0.25,284,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
PRY,South America,Paraguay,26/05/2021,342221,3307,3027,8701,110,112.429,47980.31,463.65,424.394,1219.904,15.422,15.763,1.12,,,,,,,,,7230,1252405,175.591,1.014,6630,0.93,0.457,2.2,tests performed,340338,276710,63628,6825,8685,4.77,3.88,0.89,1218,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728
DNK,Europe,Denmark,26/05/2021,277011,1076,994.857,2512,1,0.857,47824.809,185.767,171.758,433.686,0.173,0.148,1,,,,,,,,,150965,31738164,5479.463,26.063,159368,27.514,0.006,160.2,tests performed,3202669,1984671,1217998,59448,46344,55.29,34.26,21.03,8001,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
ALB,Europe,Albania,26/05/2021,132244,15,21.286,2447,0,1.286,45953.159,5.212,7.397,850.302,0,0.447,0.55,,,,,,,,,2691,686370,238.505,0.935,2959,1.028,0.007,139,tests performed,748986,479789,269197,,7311,26.03,16.67,9.35,2540,46.3,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DEU,Europe,Germany,26/05/2021,3667041,4473,5609.143,88000,267,156,43767.824,53.387,66.948,1050.321,3.187,1.862,0.6,,,,,,,,,,,,,,,,,,47425864,34799659,13099021,1160899,666418,56.6,41.53,15.63,7954,,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947
OMN,Asia,Oman,26/05/2021,212904,866,728.429,2293,9,9.286,41691.748,169.584,142.644,449.025,1.762,1.818,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
BLR,Europe,Belarus,26/05/2021,388987,1169,1271.143,2801,10,9.857,41165.603,123.713,134.522,296.423,1.058,1.043,1,,,,,,,,,,6249700,661.391,,15987,1.692,0.08,12.6,tests performed,,,,,,,,,,,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
GRC,Europe,Greece,26/05/2021,395094,1511,1648,11916,44,47,37905.774,144.967,158.111,1143.235,4.221,4.509,0.89,,,,,,,,,49992,9328911,895.026,4.796,46529,4.464,0.035,28.2,samples tested,5206825,3416341,1880694,98995,84440,49.95,32.78,18.04,8101,,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888
CAN,North America,Canada,26/05/2021,1374272,2331,3339.286,25303,34,36.143,36412.121,61.761,88.476,670.417,0.901,0.958,0.71,1149,30.443,2851,75.539,,,,,56992,34372343,910.715,1.51,88319,2.34,0.038,26.4,tests performed,21939046,20195328,1743718,301323,356350,58.13,53.51,4.62,9442,,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
IRN,Asia,Iran,26/05/2021,2865864,10468,10522.857,79219,163,207.714,34120.291,124.63,125.283,943.162,1.941,2.473,0.83,,,,,,,,,,19307544,229.871,,127128,1.514,0.083,12.1,tests performed,,,,,,,,,,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
RUS,Europe,Russia,26/05/2021,4968421,8247,8518.143,117595,398,370.286,34045.564,56.512,58.37,805.807,2.727,2.537,1.01,,,,,,,,,338866,136806625,937.453,2.322,308658,2.115,0.028,36.2,tests performed,27611859,16159658,11452201,585062,392708,18.92,11.07,7.85,2691,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
VAT,Europe,Vatican,26/05/2021,27,0,0,,,0,33374.536,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,,,,,,,,75.12,
AZE,Asia,Azerbaijan,26/05/2021,333097,203,293.857,4885,8,10.143,32852.476,20.021,28.982,481.795,0.789,1,0.56,,,,,,,,,9825,3468615,342.1,0.969,9224,0.91,0.032,31.4,tests performed,2055986,1184780,871206,34615,27528,20.28,11.69,8.59,2715,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
BLZ,North America,Belize,26/05/2021,12784,7,4.429,323,0,0,32151.219,17.605,11.138,812.331,0,0,1.05,,,,,,,,,,130529,328.275,,956,2.404,0.005,215.9,tests performed,,,,,940,,,,2364,,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BOL,South America,Bolivia,26/05/2021,358562,3213,3017.286,14226,102,84.429,30717.134,275.25,258.484,1218.707,8.738,7.233,1.29,,,,,,,,,14457,1423702,121.965,1.238,11561,0.99,0.261,3.8,tests performed,1511957,1185725,326232,54313,40263,12.95,10.16,2.79,3449,,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BHS,North America,Bahamas,26/05/2021,11597,0,39.429,225,0,0.571,29490.296,0,100.264,572.158,0,1.453,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
IRQ,Asia,Iraq,26/05/2021,1181698,4718,4305.857,16267,26,28.286,29379.027,117.298,107.051,404.425,0.646,0.703,1,,,,,,,,,44252,10250984,254.857,1.1,40060,0.996,0.107,9.3,samples tested,,,,,,,,,,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
TUN,Africa,Tunisia,26/05/2021,338853,1324,1275.429,12398,56,52.286,28671.119,112.027,107.917,1049.023,4.738,4.424,0.98,,,,,,,,,6048,1442288,122.035,0.512,6418,0.543,0.199,5,people tested,853432,578435,274997,21608,24180,7.22,4.89,2.33,2046,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
ZAF,Africa,South Africa,26/05/2021,1645555,7707,3456.143,56077,101,81.429,27745.597,129.947,58.274,945.511,1.703,1.373,1.14,,,,,,,,,45877,11452185,193.095,0.774,34983,0.59,0.067,14.9,people tested,,,,,,,,,,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
LCA,North America,Saint Lucia,26/05/2021,4980,12,10.571,77,0,0,27119.899,65.349,57.569,419.324,0,0,1.1,,,,,,,,,,,,,,,,,,45739,27588,18151,263,219,24.91,15.02,9.88,1193,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
LBY,Africa,Libya,26/05/2021,184151,219,257.286,3115,1,2.571,26800.074,31.872,37.444,453.336,0.146,0.374,0.94,,,,,,,,,2864,,,0.417,,,,,samples tested,,,,,,,,,,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
DOM,North America,Dominican Rep.,26/05/2021,286269,1058,957.714,3613,3,2.286,26389.338,97.53,88.286,333.06,0.277,0.211,1.22,,,,,,,,,,,,,,,,,,4041312,3064800,976512,93297,79026,37.25,28.25,9,7285,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
ECU,South America,Ecuador,26/05/2021,421231,1064,1189.143,20312,85,47.571,23875.167,60.307,67.4,1151.274,4.818,2.696,0.83,,,,,,,,,4257,1352166,76.64,0.241,3864,0.219,0.308,3.2,people tested,,,,,62953,,,,3568,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
HND,North America,Honduras,26/05/2021,234923,1007,816,6240,30,27,23718.556,101.67,82.386,630.01,3.029,2.726,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634
SUR,South America,Suriname,26/05/2021,13720,225,187.286,268,7,4.143,23387.666,383.544,319.255,456.844,11.932,7.062,1.33,,,,,,,,,,,,,,,,,,78542,66623,11919,2080,3026,13.39,11.36,2.03,5158,,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
KAZ,Asia,Kazakhstan,26/05/2021,435104,1956,2034.429,3433,0,3.429,23172.54,104.172,108.349,182.833,0,0.183,0.93,,,,,,,,,47610,11380185,606.08,2.536,44999,2.397,0.045,22.1,tests performed,3009654,2035781,973873,44799,44137,16.03,10.84,5.19,2351,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
NOR,Europe,Norway,26/05/2021,123662,499,481.429,783,1,0.286,22810.64,92.045,88.804,144.432,0.184,0.053,1.03,,,,,,,,,23203,5613413,1035.448,4.28,21227,3.916,0.023,44.1,people tested,2521048,1622444,898604,91541,34521,46.5,29.93,16.58,6368,63.89,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
BWA,Africa,Botswana,26/05/2021,52865,0,295,809,0,5,22480.2,0,125.445,344.017,0,2.126,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
NAM,Africa,Namibia,26/05/2021,53603,171,253.714,789,10,7.143,21095.935,67.299,99.852,310.518,3.936,2.811,1.22,,,,,,,,,723,424743,167.161,0.285,1425,0.561,0.178,5.6,samples tested,72533,65037,7496,2768,1713,2.85,2.56,0.3,674,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
GUY,South America,Guyana,26/05/2021,16556,321,135.571,374,13,3.571,21048.644,408.107,172.36,475.489,16.528,4.541,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
IND,Asia,India,26/05/2021,27369093,211298,228093.286,315235,3847,4016.143,19832.613,153.114,165.284,228.43,2.788,2.91,0.82,,,,,,,,,2217320,334811496,242.616,1.607,2072903,1.502,0.11,9.1,samples tested,198425615,156189641,42235974,2918836,1716431,14.38,11.32,3.06,1244,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
ISL,Europe,Iceland,26/05/2021,6555,0,0.571,29,0,0,19208.791,0,1.675,84.982,0,0,0.26,,,,,,,,,,,,,,,,,,,,,,2537,,,,7434,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
MEX,North America,Mexico,26/05/2021,2402722,2932,2172.857,222232,272,197.429,18635.467,22.741,16.853,1723.627,2.11,1.531,0.97,,,,,,,,,6269,6563714,50.908,0.049,9518,0.074,0.177,5.6,people tested,,,,,498123,,,,3863,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
NPL,Asia,Nepal,26/05/2021,535525,6677,7872.429,6845,145,169.714,18379.673,229.16,270.188,234.926,4.977,5.825,0.94,,,,,,,,,19030,2977650,102.195,0.653,20507,0.704,0.384,2.6,tests performed,2741964,2113080,628884,14771,24830,9.41,7.25,2.16,852,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
VCT,North America,Saint Vincent and the Grenadines,26/05/2021,2006,17,8.143,12,0,0,18080.705,153.226,73.394,108.16,0,0,1.2,,,,,,,,,,,,,,,,,,19463,,,,149,17.54,,,1343,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
MNG,Asia,Mongolia,26/05/2021,55067,653,635.571,259,2,3.429,16797.466,199.189,193.873,79.005,0.61,1.046,0.98,,,,,,,,,7881,2903519,885.68,2.404,7652,2.334,0.083,12,samples tested,2787884,1843635,944249,57901,41745,85.04,56.24,28.8,12734,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
FIN,Europe,Finland,26/05/2021,91964,220,182.429,946,4,2.429,16597.849,39.706,32.925,170.736,0.722,0.438,0.87,,,,,,,,,18122,4972729,897.488,3.271,15760,2.844,0.012,86.4,tests performed,2810669,2375612,435057,54265,48852,50.73,42.88,7.85,8817,,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
MYS,Asia,Malaysia,26/05/2021,533367,7478,6838.714,2432,63,56,16479.238,231.045,211.293,75.141,1.946,1.73,1.27,,,,,,,,,114446,11513351,355.724,3.536,106821,3.3,0.064,15.6,people tested,,,,,70231,,,,2170,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
JAM,North America,Jamaica,26/05/2021,48101,20,75.571,934,3,6,16243.966,6.754,25.521,315.417,1.013,2.026,0.8,,,,,,,,,,372604,125.83,,1683,0.568,0.045,22.3,samples tested,,,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
SWZ,Africa,Eswatini,26/05/2021,18572,2,6,672,0,0,16008.082,1.724,5.172,579.228,0,0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
KGZ,Asia,Kyrgyzstan,26/05/2021,103207,207,284,1773,8,6.857,15819.126,31.728,43.53,271.758,1.226,1.051,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
TTO,North America,Trinidad and Tobago,26/05/2021,21461,582,541.714,425,17,13.429,15334.861,415.865,387.08,303.682,12.147,9.595,1.17,,,,,,,,,,,,,,,,,,76765,75586,1179,3466,1969,5.49,5.4,0.08,1407,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796
MAR,Africa,Morocco,26/05/2021,517808,385,292.857,9131,2,3.571,14028.723,10.431,7.934,247.382,0.054,0.097,1.05,,,,,,,,,9618,5952786,161.276,0.261,8912,0.241,0.033,30.4,people tested,,,,,251004,,,,6800,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
GTM,North America,Guatemala,26/05/2021,250296,1472,923.286,8058,36,18.571,13970.867,82.163,51.535,449.776,2.009,1.037,1,,,,,,,,,6508,1404499,78.395,0.363,5304,0.296,0.174,5.7,people tested,429959,385620,44339,20427,15177,2.4,2.15,0.25,847,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
BRB,North America,Barbados,26/05/2021,4004,4,4.143,47,0,0,13933.208,13.919,14.416,163.552,0,0,0.88,,,,,,,,,,,,,,,,,,135082,77084,57998,1868,1367,47.01,26.82,20.18,4757,,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
ATG,North America,Antigua and Barbuda,26/05/2021,1258,0,0.857,42,0,0,12846.173,0,8.753,428.887,0,0,0.41,,,,,,,,,,,,,,,,,,44230,32876,11354,,1036,45.17,33.57,11.59,10579,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
SAU,Asia,Saudi Arabia,26/05/2021,444780,1320,1220.143,7295,17,13.429,12775.944,37.916,35.048,209.543,0.488,0.386,1.09,,,,,,,,,86629,18875464,542.182,2.488,83801,2.407,0.015,68.7,tests performed,13401177,,,217868,167922,38.49,,,4823,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
CUB,North America,Cuba,26/05/2021,136628,1129,1219.143,912,11,11.143,12062.561,99.677,107.635,80.518,0.971,0.984,1,,,,,,,,,23078,4238178,374.179,2.038,22297,1.969,0.055,18.3,tests performed,803958,803958,,5303,19824,7.1,7.1,,1750,,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
DJI,Africa,Djibouti,26/05/2021,11514,7,6.571,153,0,0.143,11653.823,7.085,6.651,154.858,0,0.145,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
SLV,North America,El Salvador,26/05/2021,72821,0,191.714,2229,5,4.286,11227.065,0,29.557,343.653,0.771,0.661,1.22,,,,,,,,,,,,,,,,,,1787527,1115104,672423,45876,41467,27.56,17.19,10.37,6393,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
GAB,Africa,Gabon,26/05/2021,24252,61,30.429,150,1,0.429,10896.21,27.407,13.671,67.394,0.449,0.193,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
PHL,Asia,Philippines,26/05/2021,1193976,5304,4986.429,20169,150,94.571,10895.822,48.403,45.504,184.055,1.369,0.863,0.95,,,,,,,,,50180,12400395,113.162,0.458,46892,0.428,0.106,9.4,people tested,,,,,,,,,,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718
STP,Africa,Sao Tome and Principe,26/05/2021,2338,0,0.714,37,0,0.286,10667.956,0,3.259,168.826,0,1.304,0.65,,,,,,,,,,,,,,,,,,14509,12374,2135,,267,6.62,5.65,0.97,1218,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
SGP,Asia,Singapore,26/05/2021,61916,26,32.429,32,0,0.143,10583.311,4.444,5.543,5.47,0,0.024,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
LKA,Asia,Sri Lanka,26/05/2021,172277,2377,2990.571,1298,29,35.286,8045.346,111.006,139.66,60.617,1.354,1.648,1.09,,,,,,,,,20193,3392956,158.451,0.943,21665,1.012,0.138,7.2,tests performed,1786343,1443066,343277,3914,14734,8.34,6.74,1.6,688,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782
VEN,South America,Venezuela,26/05/2021,227407,1271,1227.571,2559,15,16.143,7997.168,44.697,43.17,89.992,0.528,0.568,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
IDN,Asia,Indonesia,26/05/2021,1791221,5034,5445.714,49771,144,157.429,6548.689,18.404,19.909,181.962,0.526,0.576,1.1,,,,,,,,,56318,10938373,39.991,0.206,56506,0.207,0.096,10.4,people tested,,,,,,,,,,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
GNQ,Africa,Equatorial Guinea,26/05/2021,8476,0,111.714,113,0,0.143,6041.405,0,79.626,80.543,0,0.102,0.23,,,,,,,,,,,,,,,,,,,,,,4415,,,,3147,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
JPN,Asia,Japan,26/05/2021,731071,4485,4448.571,12573,116,96.143,5780.293,35.461,35.173,99.41,0.917,0.76,0.82,,,,,,,,,87089,13310489,105.241,0.689,80718,0.638,0.055,18.1,people tested,10595100,7607158,2987942,564235,431137,8.38,6.01,2.36,3409,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
ZMB,Africa,Zambia,26/05/2021,93627,199,142.429,1273,2,1.429,5092.865,10.825,7.747,69.245,0.109,0.078,1.4,,,,,,,,,5194,1525350,82.972,0.283,5705,0.31,0.025,40.1,tests performed,145198,139912,5286,1113,3570,0.79,0.76,0.03,194,,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
LSO,Africa,Lesotho,26/05/2021,10822,0,2.286,326,0,0.857,5051.693,0,1.067,152.176,0,0.4,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
BGD,Asia,Bangladesh,26/05/2021,793693,1497,1422.286,12458,17,30,4819.333,9.09,8.636,75.645,0.103,0.182,1.02,,,,,,,,,16434,5860950,35.588,0.1,16558,0.101,0.086,11.6,tests performed,,,,,38502,,,,234,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
